"Input","Reference","Output","Prefix match","Oracle match"
"Did M3 ' s writer and cinematographer executive produce and edit M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M3 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.writer.film M3 }","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M3 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.writer.film M3 }","False","False"
"Did M3 ' s writer direct , write , edit , produce , and executive produce M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 . ?x0 film.writer.film M3 }","SELECT count ( * ) WHERE { ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M3 . ?x0 film.writer.film M3 }","False","False"
"Did M3 ' s writer direct , write , executive produce , and edit M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 . ?x0 film.writer.film M3 }","SELECT count ( * ) WHERE { ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.writer.film M3 }","False","False"
"Did M6 ' s distributor and producer acquire M0 and acquire M1 , M2 , M3 , M4 , and M5","SELECT count ( * ) WHERE { ?x0 film.film_distributor.films_distributed/ns:film.film_film_distributor_relationship.film M6 . ?x0 film.producer.film|ns:film.production_company.films M6 . ?x0 organization.organization.companies_acquired/ns:business.acquisition.company_acquired M0 . ?x0 organization.organization.companies_acquired/ns:business.acquisition.company_acquired M1 . ?x0 organization.organization.companies_acquired/ns:business.acquisition.company_acquired M2 . ?x0 organization.organization.companies_acquired/ns:business.acquisition.company_acquired M3 . ?x0 organization.organization.companies_acquired/ns:business.acquisition.company_acquired M4 . ?x0 organization.organization.companies_acquired/ns:business.acquisition.company_acquired M5 }","SELECT count ( * ) WHERE { ?x0 film.film_distributor.films_distributed/ns:film.film_film_distributor_relationship.film M0 . ?x0 organization.organization.companies_acquired/ns:business.acquisition.company_acquired M1 . ?x0 organization.organization.companies_acquired/ns:business.acquisition.company_acquired M2 . ?x0 organization.organization.companies_acquired/ns:business.acquisition.company_acquired M3 . ?x0 organization.organization.companies_acquired/ns:business.acquisition.company_acquired M4 . ?x0 organization.organization.companies_acquired/ns:business.acquisition.company_acquired M5 . M6 film.film_distributor.films_distributed/ns:film.film_film_distributor_relationship.film M1 . M6 organization.organization.companies_acquired/ns:business.acquisition.company_acquired ?x0 . M6 organization.organization.companies_acquired/ns:business.acquisition.company_acquired M4 . M6 organization.organization.companies_acquired/ns:business.acquisition.company_acquired M5 }","False","False"
"Did M1 employ a film producer , employ M2 , M3 , and M4 , and employ M5 , M6 , and M7","SELECT count ( * ) WHERE { ?x0 a film.producer . M1 business.employer.employees/ns:business.employment_tenure.person ?x0 . M1 business.employer.employees/ns:business.employment_tenure.person M2 . M1 business.employer.employees/ns:business.employment_tenure.person M3 . M1 business.employer.employees/ns:business.employment_tenure.person M4 . M1 business.employer.employees/ns:business.employment_tenure.person M5 . M1 business.employer.employees/ns:business.employment_tenure.person M6 . M1 business.employer.employees/ns:business.employment_tenure.person M7 }","SELECT count ( * ) WHERE { ?x0 a film.producer . M1 business.employer.employees/ns:business.employment_tenure.person ?x0 . M1 business.employer.employees/ns:business.employment_tenure.person M2 . M1 business.employer.employees/ns:business.employment_tenure.person M3 . M1 business.employer.employees/ns:business.employment_tenure.person M4 . M1 business.employer.employees/ns:business.employment_tenure.person M5 . M1 business.employer.employees/ns:business.employment_tenure.person M6 . M6 business.employer.employees/ns:business.employment_tenure.person ?x0 . M6 business.employer.employees/ns:business.employment_tenure.person M2 . M6 business.employer.employees/ns:business.employment_tenure.person M3 . M6 business.employer.employees/ns:business.employment_tenure.person M4 . M7 business.employer.employees/ns:business.employment_tenure.person M5 . M7 business.employer.employees/ns:business.employment_tenure.person ?x0 . M7 business.employer.employees/ns:business.employment_tenure.person M2 . M7 business.employer.employees/ns:business.employment_tenure.person M3 . M7 business.employer.employees/ns:business.employment_tenure.person M4 . M7 business.employer.employees/ns:business.employment_tenure.person M5 }","False","False"
"Did M0 ' s producer , executive producer , star , and writer executive produce M1 , M2 , and M3","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.films_executive_produced M3 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M0 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M3 . ?x0 film.writer.film M0 . ?x0 film.writer.film M0 }","False","False"
"Did M6 ' s director and producer influence M0 , M1 , M2 , M3 , M4 , and M5","SELECT count ( * ) WHERE { ?x0 film.director.film M6 . ?x0 film.producer.film|ns:film.production_company.films M6 . ?x0 influence.influence_node.influenced M0 . ?x0 influence.influence_node.influenced M1 . ?x0 influence.influence_node.influenced M2 . ?x0 influence.influence_node.influenced M3 . ?x0 influence.influence_node.influenced M4 . ?x0 influence.influence_node.influenced M5 }","SELECT count ( * ) WHERE { ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 influence.influence_node.influenced M0 . ?x0 influence.influence_node.influenced M3 . ?x0 influence.influence_node.influenced M4 . ?x0 influence.influence_node.influenced M5 . M6 film.director.film M1 . M6 influence.influence_node.influenced M2 }","False","False"
"Did M2 ' s executive producer , star , writer , and director direct and edit M0 and M1","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M2 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.writer.film M2 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M2 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.editor.film M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.writer.film M2 }","False","False"
"Did M0 ' s director , art director , and star marry M1 , M2 , M3 , and M4","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.director.film M0 . ?x0 film.film_art_director.films_art_directed M0 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M1 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M2 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M3 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M4 . FILTER ( ?x0 != M1 ) . FILTER ( ?x0 != M2 ) . FILTER ( ?x0 != M3 ) . FILTER ( ?x0 != M4 ) }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.director.film M0 . ?x0 film.film_art_director.films_art_directed M1 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M2 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M3 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M4 . FILTER ( ?x0 != M2 ) . FILTER ( ?x0 != M3 ) . FILTER ( ?x0 != M4 ) }","False","False"
"Did M4 ' s director , star , and art director influence M0 , M1 , M2 , and M3 and marry a person","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M4 . ?x0 film.director.film M4 . ?x0 film.film_art_director.films_art_directed M4 . ?x0 influence.influence_node.influenced M0 . ?x0 influence.influence_node.influenced M1 . ?x0 influence.influence_node.influenced M2 . ?x0 influence.influence_node.influenced M3 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses ?x1 . ?x1 a people.person . FILTER ( ?x0 != ?x1 ) }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film ?x1 . ?x0 film.director.film M0 . ?x0 influence.influence_node.influenced M1 . ?x0 influence.influence_node.influenced M2 . ?x0 influence.influence_node.influenced M3 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses ?x2 . ?x1 a people.person . ?x2 a people.person . FILTER ( ?x0 != ?x2 ) }","False","False"
"Did M0 ' s star and art director marry M1 , M2 , M3 , M4 , and M5","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.film_art_director.films_art_directed M0 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M1 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M2 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M3 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M4 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M5 . FILTER ( ?x0 != M1 ) . FILTER ( ?x0 != M2 ) . FILTER ( ?x0 != M3 ) . FILTER ( ?x0 != M4 ) . FILTER ( ?x0 != M5 ) }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.film_art_director.films_art_directed M0 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M1 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M2 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M3 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M4 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M5 . FILTER ( ?x0 != M1 ) . FILTER ( ?x0 != M2 ) . FILTER ( ?x0 != M3 ) . FILTER ( ?x0 != M4 ) }","False","False"
"Did M3 ' s star , art director , and director direct and write M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M3 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.director.film M3 . ?x0 film.film_art_director.films_art_directed M3 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M3 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.film_art_director.films_art_directed M3 . ?x0 film.writer.film M2 }","False","False"
"Did M0 ' s writer , star , and art director influence M1 , M2 , M3 , and M4","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.film_art_director.films_art_directed M0 . ?x0 film.writer.film M0 . ?x0 influence.influence_node.influenced M1 . ?x0 influence.influence_node.influenced M2 . ?x0 influence.influence_node.influenced M3 . ?x0 influence.influence_node.influenced M4 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.film_art_director.films_art_directed M0 . ?x0 film.writer.film M1 . ?x0 influence.influence_node.influenced M2 . ?x0 influence.influence_node.influenced M3 . ?x0 influence.influence_node.influenced M4 }","False","False"
"Did M3 ' s cinematographer edit , executive produce , write , direct , and produce M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M3 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 }","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M3 . ?x0 film.director.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.writer.film M0 }","False","False"
"Did M3 ' s cinematographer edit , write , executive produce , direct , and produce M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M3 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 }","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M3 . ?x0 film.director.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.writer.film M0 }","False","False"
"Did M5 ' s director executive produce and edit M0 , M1 , M2 , M3 , and M4","SELECT count ( * ) WHERE { ?x0 film.director.film M5 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.editor.film M3 . ?x0 film.editor.film M4 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.films_executive_produced M3 . ?x0 film.producer.films_executive_produced M4 }","SELECT count ( * ) WHERE { ?x0 film.director.film M5 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.editor.film M3 . ?x0 film.editor.film M4 . M5 film.producer.films_executive_produced M1 }","False","False"
"Did M3 ' s editor and cinematographer direct , executive produce , and write M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M3 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M3 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 }","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M3 . ?x0 film.director.film M0 . ?x0 film.editor.film M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 }","False","False"
"Did M3 ' s writer executive produce , edit , write , and direct M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 . ?x0 film.writer.film M3 }","SELECT count ( * ) WHERE { ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.writer.film M3 }","False","False"
"Did M0 and M4 write , produce , edit , and direct M1 , M2 , and M3","SELECT count ( * ) WHERE { M0 film.director.film M1 . M0 film.director.film M2 . M0 film.director.film M3 . M0 film.editor.film M1 . M0 film.editor.film M2 . M0 film.editor.film M3 . M0 film.producer.film|ns:film.production_company.films M1 . M0 film.producer.film|ns:film.production_company.films M2 . M0 film.producer.film|ns:film.production_company.films M3 . M0 film.writer.film M1 . M0 film.writer.film M2 . M0 film.writer.film M3 . M4 film.director.film M1 . M4 film.director.film M2 . M4 film.director.film M3 . M4 film.editor.film M1 . M4 film.editor.film M2 . M4 film.editor.film M3 . M4 film.producer.film|ns:film.production_company.films M1 . M4 film.producer.film|ns:film.production_company.films M2 . M4 film.producer.film|ns:film.production_company.films M3 . M4 film.writer.film M1 . M4 film.writer.film M2 . M4 film.writer.film M3 }","SELECT count ( * ) WHERE { M0 film.director.film M1 . M0 film.editor.film M2 . M0 film.director.film M3 . M0 film.producer.film|ns:film.production_company.films M1 . M0 film.writer.film M2 . M4 film.director.film M3 . M4 film.editor.film M1 . M4 film.producer.film|ns:film.production_company.films M2 . M4 film.writer.film M3 }","False","False"
